Comment,Description,Designator,Footprint,Pins,Quantity

10nF (103) 10% 50V,贴片电容,"C1, C2, C3, C4, C5, C6, C7",LC-0603_C,2,7
1.5nF (152) 10% 50V,贴片电容,"C8, C9, C10, C11, C22, C23, C31, C32, C34, C35, C36, C37, C38, C39, C40",LC-0805_C,2,15
100nF (104) ±10% 16V,贴片电容,"C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107",LC-0402_C,2,41
4.7uH ±10%,贴片电感,"L1, L4",LC-0603_L,2,2
47nH,贴片电感,L2,LC-0603_L,2,1
68nH ±5% 0603,贴片电感,L3,LC-0603_L,2,1
10nH ±5%,贴片电感,"L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27",LC-0402_L,2,12
22nH ±5%,贴片电感,L31,LC-0603_L,2,1
13KΩ (1302) ±1%,贴片电阻,"R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R21, R31, R41, R51, R61",LC-0603_R,2,20
300Ω (3000) ±1%,贴片电阻,"R192, R193, R194, R195, R196, R200, R201, R202, R203, R204, R205, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R227, R228, R229, R230, R231, R232, R233, R234, R235, R236, R237, R238, R239, R240, R241, R242, R243, R244, R245, R246, R247, R248, R249, R250, R251, R252, R253, R254",LC-0402_R,2,60
